SECCION: ;Date;InvoiceNumber;Description;DueDate;TransactionTypeDescription;DebtorNumber;cmp_name; AmountTC ;Estatus: ;Fecha: ;Obeservaciones: 
PANAMÁ;30/5/2023;1199152;;29/6/2023;Factura de venta;10492;PROCURADURIA GENERAL DE LA NACION; B/.170.77 ;Sin informacion; -;-
PANAMÁ;18/7/2023;1204389;;17/8/2023;Factura de venta;10492;PROCURADURIA GENERAL DE LA NACION; B/.963.00 ;Sin informacion; -;-
PANAMÁ;30/6/2023;1202529;;30/7/2023;Factura de venta;10499;BANCO HIPOTECARIO NACIONAL; B/.1,137.80 ;Presentado;-;0
PANAMÁ;24/11/2022;;CK NCNAL 509456;;Recibo de caja;10607;CAJA DE SEGURO SOCIAL;-B/.283.14 ;0;0/1/1900;0
PANAMÁ;14/5/2021;1119775;1FHS310001256-00005839;13/6/2021;Nota de crédito Ventas;10607;CAJA DE SEGURO SOCIAL;-B/.8.96 ;Sin informacion; -;-
PANAMÁ;26/5/2021;1121047;1FHS310001256-00081301;25/6/2021;Factura de venta;10607;CAJA DE SEGURO SOCIAL; B/.265.92 ;Presentado;-;0
PANAMÁ;23/10/2021;1137059;1FHS610001181-00024648;22/11/2021;Factura de venta;10607;CAJA DE SEGURO SOCIAL; B/.195.93 ;Presentado;-;0
PANAMÁ;15/11/2021;1138937;1FHS610001181-00025246;15/12/2021;Factura de venta;10607;CAJA DE SEGURO SOCIAL; B/.10.91 ;MULTA;-;0
PANAMÁ;26/11/2021;1140601;1FHS610001181-00025798;26/12/2021;Factura de venta;14/1/1929;CAJA DE SEGURO SOCIAL; B/.163.02 ;Presentado;-;0
PANAMÁ;27/7/2023;1205375;;26/8/2023;Factura de venta;10607;CAJA DE SEGURO SOCIAL; B/.141.25 ;Sin informacion; -;-
PANAMÁ;27/7/2023;1205402;;26/8/2023;Factura de venta;10607;CAJA DE SEGURO SOCIAL; B/.5,650.00 ;Sin informacion; -;-
PANAMÁ;31/7/2023;1205764;;30/8/2023;Factura de venta;10607;CAJA DE SEGURO SOCIAL; B/.23.68 ;Sin informacion; -;-
PANAMÁ;10/8/2023;1206956;;9/9/2023;Factura de venta;10607;CAJA DE SEGURO SOCIAL; B/.1,600.00 ;Sin informacion; -;-
PANAMÁ;3/7/2023;1202761;;2/8/2023;Nota de crédito Ventas;10607;CAJA DE SEGURO SOCIAL;-B/.151.64 ;Sin informacion; -;-
PANAMÁ;3/7/2023;1202762;;2/8/2023;Factura de venta;10607;CAJA DE SEGURO SOCIAL; B/.151.64 ;Por Presentar;-;0
PANAMÁ;4/7/2023;1202842;;3/8/2023;Factura de venta;10607;CAJA DE SEGURO SOCIAL; B/.138.13 ;Por Presentar;-;0
PANAMÁ;7/7/2023;1203247;;6/8/2023;Factura de venta;10607;CAJA DE SEGURO SOCIAL; B/.331.52 ;Por Presentar;-;0
PANAMÁ;21/7/2023;1204704;;20/8/2023;Factura de venta;10607;CAJA DE SEGURO SOCIAL; B/.107.93 ;Sin informacion; -;-
PANAMÁ;25/7/2023;1205082;;24/8/2023;Factura de venta;10607;CAJA DE SEGURO SOCIAL; B/.111.50 ;Por Presentar;0/1/1900;0
PANAMÁ;29/5/2023;1199034;;28/6/2023;Factura de venta;10607;CAJA DE SEGURO SOCIAL; B/.81.86 ;Presentado;13/7/2023;0
PANAMÁ;7/6/2023;1200092;;7/7/2023;Factura de venta;10607;CAJA DE SEGURO SOCIAL; B/.219.16 ;Sin informacion; -;-
PANAMÁ;19/6/2023;1201259;;19/7/2023;Factura de venta;10607;CAJA DE SEGURO SOCIAL; B/.219.16 ;Presentado;7/11/2023;0
PANAMÁ;19/6/2023;1201261;;19/7/2023;Nota de crédito Ventas;10607;CAJA DE SEGURO SOCIAL;-B/.219.16 ;Sin informacion; -;-
PANAMÁ;21/6/2023;1201572;;21/7/2023;Factura de venta;10607;CAJA DE SEGURO SOCIAL; B/.53.28 ;Presentado;7/11/2023;0
PANAMÁ;26/6/2023;1202004;;26/7/2023;Factura de venta;10607;CAJA DE SEGURO SOCIAL; B/.101.89 ;Por Presentar;-;0
PANAMÁ;30/3/2023;1193198;;29/4/2023;Factura de venta;10607;CAJA DE SEGURO SOCIAL; B/.1.48 ;Sin informacion; -;-
PANAMÁ;31/3/2023;1193333;;30/4/2023;Nota de crédito Ventas;10607;CAJA DE SEGURO SOCIAL;-B/.78.40 ;Sin informacion; -;-
PANAMÁ;31/3/2023;1193334;;30/4/2023;Factura de venta;10607;CAJA DE SEGURO SOCIAL; B/.78.40 ;Por Presentar;-;0
PANAMÁ;24/4/2023;1195422;;24/5/2023;Factura de venta;10607;CAJA DE SEGURO SOCIAL; B/.142.08 ;Por Presentar;-;0
PANAMÁ;5/5/2023;1196592;;4/6/2023;Factura de venta;10607;CAJA DE SEGURO SOCIAL; B/.151.64 ;Por Presentar;-;0
PANAMÁ;24/5/2023;1198633;;23/6/2023;Factura de venta;10607;CAJA DE SEGURO SOCIAL; B/.110.40 ;Por Presentar;-;0
PANAMÁ;9/3/2023;1190825;;8/4/2023;Factura de venta;10607;CAJA DE SEGURO SOCIAL; B/.312.44 ;Por Presentar;-;0
PANAMÁ;17/11/2022;1179656;;17/12/2022;Factura de venta;10607;CAJA DE SEGURO SOCIAL; B/.172.50 ;Sin informacion; -;-
PANAMÁ;26/11/2022;1180815;;26/12/2022;Nota de crédito Ventas;10607;CAJA DE SEGURO SOCIAL;-B/.172.50 ;Sin informacion; -;-
PANAMÁ;5/12/2022;1181500;;4/1/2023;Factura de venta;10607;CAJA DE SEGURO SOCIAL; B/.4.74 ;Presentado;-;falta el informe de recepcion 
PANAMÁ;6/12/2022;1181735;;5/1/2023;Factura de venta;10607;CAJA DE SEGURO SOCIAL; B/.78.40 ;Sin informacion; -;-
PANAMÁ;16/2/2023;1188905;;18/3/2023;Factura de venta;10607;CAJA DE SEGURO SOCIAL; B/.0.33 ;Por Presentar;29/3/2023;0
PANAMÁ;27/5/2022;1161258;1FHS610001181-00032634;26/6/2022;Factura de venta;10607;CAJA DE SEGURO SOCIAL; B/.4.79 ;Presentado;-;0
PANAMÁ;27/7/2022;1167807;1FHS610001181-00034839;26/8/2022;Factura de venta;10607;CAJA DE SEGURO SOCIAL; B/.12.00 ;Presentado;-;0
PANAMÁ;6/7/2022;1152438;CK NCNAL 507837;13/4/2022;Recibo de caja;10607;CAJA DE SEGURO SOCIAL;-B/.0.01 ;Presentado;-;0
PANAMÁ;9/3/2023;1190827;;8/4/2023;Factura de venta;10607;CAJA DE SEGURO SOCIAL; B/.148.75 ;Presentado;7/11/2023;0
PANAMÁ;28/10/2022;1178112;1FHS610001181-00037986;27/11/2022;Factura de venta;10607;CAJA DE SEGURO SOCIAL; B/.89.96 ;Presentado;-;0
PANAMÁ;10/10/2022;1175831;1FHS610001181-00037305;9/11/2022;Factura de venta;10607;CAJA DE SEGURO SOCIAL; B/.17.89 ;Presentado;-;0
PANAMÁ;12/6/2023;1200489;;12/7/2023;Factura de venta;10774;CONTRALORIA GENERAL DE LA REPUBLICA; B/.22.68 ;Presentado;18/7/2023;completa, para presentar
PANAMÁ;12/6/2023;1200557;;12/7/2023;Factura de venta;10774;CONTRALORIA GENERAL DE LA REPUBLICA; B/.15.32 ;Presentado;28/6/2023;0
PANAMÁ;10/5/2023;1197040;;9/6/2023;Factura de venta;10774;CONTRALORIA GENERAL DE LA REPUBLICA; B/.26.60 ;Presentado;0/1/1900;0
PANAMÁ;26/6/2023;1202019;;26/7/2023;Factura de venta;10918;AUTORIDAD NACIONAL DE ADUANAS; B/.195.94 ;Por Presentar;-;0
PANAMÁ;15/8/2022;1169684;1FHS610001181-00035396;14/9/2022;Factura de venta;10933;POLICLINICA DR.BLAS GOMEZ ARRAIJAN; B/.20.52 ;Presentado;-;0
PANAMÁ;24/4/2023;1195407;;24/5/2023;Factura de venta;10933;POLICLINICA DR.BLAS GOMEZ ARRAIJAN; B/.1,495.00 ;Presentado;-;0
PANAMÁ;5/7/2023;1202962;;6/7/2023;Factura de venta;10937;CENTRO DE SALUD DE PEDREGAL; B/.71.00 ;Sin informacion; -;-
PANAMÁ;6/7/2023;1203127;;7/7/2023;Nota de crédito Ventas;10937;CENTRO DE SALUD DE PEDREGAL;-B/.71.00 ;Sin informacion; -;-
PANAMÁ;9/11/2022;1178914;;9/12/2022;Factura de venta;10941;INST. DE MEDICINA FISICA Y REHABILITACION; B/.55.20 ;Sin informacion; -;-
PANAMÁ;21/6/2023;1201530;;21/7/2023;Factura de venta;10941;INST. DE MEDICINA FISICA Y REHABILITACION; B/.78.48 ;Por Presentar;-;0
PANAMÁ;10/3/2023;1190984;;9/4/2023;Factura de venta;11012;AUT. DEL TRANSITO Y TRANSPORTE TERRESTRE; B/.100.07 ;Presentado;14/4/2023;0
PANAMÁ;16/5/2023;1197652;;15/6/2023;Factura de venta;11012;AUT. DEL TRANSITO Y TRANSPORTE TERRESTRE; B/.14.74 ;Retención;-;0
PANAMÁ;19/4/2023;1194900;;20/4/2023;Nota de crédito Ventas;11447;CENTRO DE SALUD DE BOCA LA CAJA;-B/.0.01 ;Sin informacion; -;-
PANAMÁ;19/4/2023;1194888;;20/4/2023;Nota de crédito Ventas;11447;CENTRO DE SALUD DE BOCA LA CAJA;-B/.72.76 ;Sin informacion; -;-
PANAMÁ;23/2/2023;1171447;NACIONAL31530;29/9/2022;Recibo de caja;11470;CENTRO DE SALUD DE CHILIBRE;-B/.28.00 ;Presentado;-;0
PANAMÁ;4/8/2023;1206222;;3/9/2023;Factura de venta;11470;CENTRO DE SALUD DE CHILIBRE; B/.650.00 ;Sin informacion; -;-
PANAMÁ;28/3/2022;1154448;1FHS610001181-00030390;27/4/2022;Factura de venta;11483;COMPLEJO HOSP.DR. ARNULFO ARIAS MADRID(C.S.S.); B/.9,975.00 ;Presentado;-;0
PANAMÁ;4/4/2022;1155183;1FHS610001181-00030569;4/5/2022;Factura de venta;11483;COMPLEJO HOSP.DR. ARNULFO ARIAS MADRID(C.S.S.); B/.919.20 ;Presentado;-;0
PANAMÁ;4/4/2022;1155188;1FHS610001181-00030567;4/5/2022;Factura de venta;11483;COMPLEJO HOSP.DR. ARNULFO ARIAS MADRID(C.S.S.); B/.35.88 ;Presentado;-;0
PANAMÁ;19/4/2023;1194946;;19/5/2023;Factura de venta;11483;COMPLEJO HOSP.DR. ARNULFO ARIAS MADRID(C.S.S.); B/.858.00 ;Por Presentar;-;0
PANAMÁ;14/12/2022;1182561;;13/1/2023;Factura de venta;11686;"ULAPS""PROF:CARLOS A.VELARDE(C.S.S.)"; B/.0.39 ;Presentado;-;llamar a alexandra para q nos de respuesta por carta de ellos para tesoreria 8/3/23
PANAMÁ;20/7/2021;1126610;1FHS610001181-00002795;19/8/2021;Nota de crédito Ventas;12008;HOSPITAL IRMA DE LOURDES TZANETATOS;-B/.0.02 ;Sin informacion; -;-
PANAMÁ;31/10/2022;1178264;1FHS610001181-00038028;30/11/2022;Factura de venta;12008;HOSPITAL IRMA DE LOURDES TZANETATOS; B/.3,168.25 ;Presentado;6/3/2023;falta elinforme de recepcion 
PANAMÁ;11/4/2023;1194031;;11/5/2023;Factura de venta;12008;HOSPITAL IRMA DE LOURDES TZANETATOS; B/.70.00 ;Por Presentar;-;0
PANAMÁ;11/4/2023;1194036;;11/5/2023;Nota de crédito Ventas;12008;HOSPITAL IRMA DE LOURDES TZANETATOS;-B/.70.00 ;Sin informacion; -;-
PANAMÁ;11/4/2023;1194038;;11/5/2023;Factura de venta;12008;HOSPITAL IRMA DE LOURDES TZANETATOS; B/.70.00 ;Presentado;-;0
PANAMÁ;27/4/2023;1195784;;27/5/2023;Nota de crédito Ventas;12008;HOSPITAL IRMA DE LOURDES TZANETATOS;-B/.16.80 ;Sin informacion; -;-
PANAMÁ;27/4/2023;1195788;;27/5/2023;Factura de venta;12008;HOSPITAL IRMA DE LOURDES TZANETATOS; B/.16.80 ;Sin informacion; -;-
PANAMÁ;3/5/2023;1196260;;2/6/2023;Factura de venta;12008;HOSPITAL IRMA DE LOURDES TZANETATOS; B/.1,400.00 ;Presentado;-;0
PANAMÁ;14/4/2021;1116607;1FHS610001181-00018463;14/4/2021;Factura de venta;12037;HOSPITAL SANTO TOMAS; B/.299.60 ;Presentado;7/7/2022;0
PANAMÁ;9/3/2023;1190789;;8/4/2023;Factura de venta;12037;HOSPITAL SANTO TOMAS; B/.506.76 ;APLICAR;0/1/1900;0
PANAMÁ;10/3/2023;1191029;;9/4/2023;Factura de venta;12037;HOSPITAL SANTO TOMAS; B/.271.26 ;Sin informacion; -;-
PANAMÁ;20/3/2023;1191985;;19/4/2023;Nota de crédito Ventas;12037;HOSPITAL SANTO TOMAS;-B/.506.76 ;APLICAR;0/1/1900;0
PANAMÁ;20/3/2023;1191989;;19/4/2023;Nota de crédito Ventas;12037;HOSPITAL SANTO TOMAS;-B/.271.26 ;Sin informacion; -;-
PANAMÁ;20/3/2023;1191991;;19/4/2023;Factura de venta;12037;HOSPITAL SANTO TOMAS; B/.506.76 ;APLICAR;0/1/1900;0
PANAMÁ;23/3/2023;1192389;;22/4/2023;Factura de venta;12037;HOSPITAL SANTO TOMAS; B/.271.26 ;Sin informacion; -;-
PANAMÁ;28/3/2023;1192825;;27/4/2023;Nota de crédito Ventas;12037;HOSPITAL SANTO TOMAS;-B/.506.76 ;APLICAR;0/1/1900;0
PANAMÁ;28/3/2023;1192827;;27/4/2023;Factura de venta;12037;HOSPITAL SANTO TOMAS; B/.506.76 ;APLICAR;0/1/1900;0
PANAMÁ;30/3/2023;1193212;;29/4/2023;Nota de crédito Ventas;12037;HOSPITAL SANTO TOMAS;-B/.506.76 ;APLICAR;0/1/1900;0
PANAMÁ;28/7/2023;1205532;;27/8/2023;Factura de venta;12037;HOSPITAL SANTO TOMAS; B/.1,243.00 ;Sin informacion; -;-
PANAMÁ;20/3/2023;1192030;;19/4/2023;Factura de venta;12037;HOSPITAL SANTO TOMAS; B/.271.26 ;Sin informacion; -;-
PANAMÁ;22/3/2023;1192235;;21/4/2023;Nota de crédito Ventas;12037;HOSPITAL SANTO TOMAS;-B/.271.26 ;Sin informacion; -;-
PANAMÁ;22/3/2023;1192241;;21/4/2023;Nota de crédito Ventas;12037;HOSPITAL SANTO TOMAS;-B/.506.76 ;APLICAR;0/1/1900;0
PANAMÁ;23/3/2023;1192367;;22/4/2023;Factura de venta;12037;HOSPITAL SANTO TOMAS; B/.506.76 ;APLICAR;0/1/1900;0
PANAMÁ;23/3/2023;1192372;;22/4/2023;Factura de venta;12037;HOSPITAL SANTO TOMAS; B/.271.26 ;Presentado;18/4/2023;0
PANAMÁ;23/3/2023;1192386;;22/4/2023;Nota de crédito Ventas;12037;HOSPITAL SANTO TOMAS;-B/.271.26 ;Sin informacion; -;-
PANAMÁ;21/5/2022;1160581;1FHS610001181-00032428;20/6/2022;Factura de venta;12043;HOSPITAL REGIONAL DE CHEPO; B/.270.00 ;Presentado;-;0
PANAMÁ;21/5/2022;1160587;1FHS610001181-00032427;20/6/2022;Factura de venta;12043;HOSPITAL REGIONAL DE CHEPO; B/.352.00 ;Presentado;-;0
PANAMÁ;15/2/2023;1188757;;15/2/2023;Factura de venta;12043;HOSPITAL REGIONAL DE CHEPO; B/.675.00 ;Presentado;-;0
PANAMÁ;24/4/2023;1195405;;24/4/2023;Factura de venta;12043;HOSPITAL REGIONAL DE CHEPO; B/.400.00 ;Presentado;-;0
PANAMÁ;10/5/2023;1197085;;10/5/2023;Factura de venta;12043;HOSPITAL REGIONAL DE CHEPO; B/.560.00 ;Presentado;7/6/2023;0
PANAMÁ;18/7/2023;1204376;;18/7/2023;Factura de venta;12043;HOSPITAL REGIONAL DE CHEPO; B/.1,530.00 ;Sin informacion; -;-
PANAMÁ;18/7/2023;1204374;;18/7/2023;Factura de venta;12043;HOSPITAL REGIONAL DE CHEPO; B/.1,530.00 ;Presentado;-;0
PANAMÁ;18/7/2023;1204379;;18/7/2023;Nota de crédito Ventas;12043;HOSPITAL REGIONAL DE CHEPO;-B/.1,530.00 ;Sin informacion; -;-
PANAMÁ;25/10/2022;1177675;1FHS610001181-00037825;24/11/2022;Factura de venta;12060;INSTITUTO NACIONAL DE SALUD MENTAL; B/.1.06 ;multa;4/1/2023;0
PANAMÁ;4/7/2023;1202826;;3/8/2023;Factura de venta;12060;INSTITUTO NACIONAL DE SALUD MENTAL; B/.274.93 ;Presentado;7/8/2023;0
PANAMÁ;4/7/2023;1202829;;3/8/2023;Factura de venta;12060;INSTITUTO NACIONAL DE SALUD MENTAL; B/.28.89 ;Presentado;7/8/2023;0
PANAMÁ;14/2/2023;1188575;;16/3/2023;Factura de venta;12070;HOSPITAL SAN MIGUEL ARCANGEL; B/.354.17 ;Sin informacion; -;-
PANAMÁ;28/6/2023;1202349;;28/7/2023;Factura de venta;12070;HOSPITAL SAN MIGUEL ARCANGEL; B/.1,226.67 ;Por Presentar;0/1/1900;0
PANAMÁ;10/3/2023;1190988;;9/4/2023;Factura de venta;12322;INST. PANAMENO DE HABILITACION ESPECIAL(IPHE); B/.330.63 ;Presentado;26/7/2023;0
PANAMÁ;20/4/2023;1195147;;20/5/2023;Factura de venta;12323;AUTORIDAD DE TURISMO DE PANAMA; B/.2.50 ;Por Presentar;-;0
PANAMÁ;19/5/2023;1198107;;18/6/2023;Factura de venta;12377;I.M.A.(Instituto de Mercadeo Agropecuario); B/.360.06 ;Por Presentar;-;completa, para presentar
PANAMÁ;21/7/2023;1204710;;20/8/2023;Factura de venta;12377;I.M.A.(Instituto de Mercadeo Agropecuario); B/.9,068.25 ;Por Presentar;-;0
PANAMÁ;24/7/2023;1204983;;23/8/2023;Factura de venta;12398;MUSEO DEL CANAL INTEROCEANICO DE PANAMA; B/.248.13 ;Sin informacion; -;-
PANAMÁ;19/5/2023;1198069;;18/6/2023;Factura de venta;12413;I.D.A.A.N.; B/.1,968.80 ;Presentado;-;0
PANAMÁ;26/11/2022;1180827;;26/12/2022;Factura de venta;12413;I.D.A.A.N.; B/.2,237.37 ;Presentado;15/2/2023;SE PAGO LA MULTRA 
PANAMÁ;21/12/2022;1183099;;20/1/2023;Factura de venta;12413;I.D.A.A.N.; B/.89.67 ;Presentado;13/1/2023;0
PANAMÁ;30/8/2022;10827855;ACH GENERAL**CONADES***;;Recibo de caja;12428;MINISTERIO DE AMBIENTE;-B/.122.54 ;Sin informacion; -;-
PANAMÁ;30/6/2023;1202503;;30/7/2023;Factura de venta;10145;AUTORIDAD MARITIMA DE PANAMA; B/.469.25 ;Presentado;4/8/2023;0
PANAMÁ;30/6/2023;1202505;;30/7/2023;Factura de venta;10145;AUTORIDAD MARITIMA DE PANAMA; B/.236.80 ;Presentado;4/8/2023;0
PANAMÁ;25/10/2022;1177590;1FHS310001256-00116025;26/10/2022;Factura de venta;10354;JUNTA COMUNAL LAS CUMBRES-ALCALDEDIAZ; B/.57.35 ;Sin informacion; -;-
PANAMÁ;22/12/2022;10848700;ACH GENERAL TESORO NACIONAL;;Recibo de caja;10440;BANCO NACIONAL DE PANAMA;-B/.107.13 ;aplicar a la factura 1140580;-;0
PANAMÁ;1/2/2023;1187099;;3/3/2023;Factura de venta;10450;BANCO DE DESARROLLO AGROPECUARIO; B/.14.35 ;Presentado;14/2/2023;0
PANAMÁ;4/5/2023;1196345;;3/6/2023;Factura de venta;10450;BANCO DE DESARROLLO AGROPECUARIO; B/.6.59 ;Presentado;8/8/2023;0
PANAMÁ;11/5/2023;1197232;;10/6/2023;Factura de venta;10450;BANCO DE DESARROLLO AGROPECUARIO; B/.28.63 ;Por Presentar;-;0
PANAMÁ;30/6/2023;1202532;;30/7/2023;Factura de venta;10450;BANCO DE DESARROLLO AGROPECUARIO; B/.77.15 ;Presentado;4/8/2023;0
PANAMÁ;25/5/2023;1198714;;24/6/2023;Factura de venta;10469;PROCURADURIA DE LA ADMINISTRACION; B/.6.77 ;Retención;-;0
PANAMÁ;19/6/2023;1201273;;19/7/2023;Factura de venta;10469;PROCURADURIA DE LA ADMINISTRACION; B/.14.45 ;Por Presentar;-;0
PANAMÁ;15/8/2022;1169677;1FHS610001181-00035397;14/9/2022;Factura de venta;10827;CORREOS Y TELEGRAFOS; B/.0.92 ;Presentado;-;0
PANAMÁ;14/12/2022;10846686;RET FISCAL;13/1/2023;Nota de crédito Ventas;10827;CORREOS Y TELEGRAFOS;-B/.0.92 ;Sin informacion; -;-
PANAMÁ;12/4/2023;1194152;;12/5/2023;Factura de venta;10827;CORREOS Y TELEGRAFOS; B/.126.69 ;Presentado;29/5/2023;0
PANAMÁ;29/5/2023;1199033;;28/6/2023;Factura de venta;10827;CORREOS Y TELEGRAFOS; B/.362.73 ;Por Presentar;-;0
PANAMÁ;26/6/2023;1202016;;26/7/2023;Factura de venta;10843;AUT. DE PROTECCION AL CONSUMIDOR(acodeco); B/.20.92 ;Presentado;7/4/2023;0
PANAMÁ;6/7/2023;1203165;;5/8/2023;Factura de venta;10843;AUT. DE PROTECCION AL CONSUMIDOR(acodeco); B/.1,957.80 ;Por Presentar;-;0
PANAMÁ;18/4/2023;1194689;;18/5/2023;Factura de venta;11020;AUTORIDAD DE ASEO; B/.47.62 ;Por Presentar;-;completa, para presentar
PANAMÁ;24/4/2023;1195399;;24/5/2023;Factura de venta;11020;AUTORIDAD DE ASEO; B/.291.52 ;Por Presentar;-;completa, para presentar
PANAMÁ;25/5/2023;1198723;;24/6/2023;Factura de venta;11020;AUTORIDAD DE ASEO; B/.76.01 ;Por Presentar;-;0
PANAMÁ;24/11/2022;1180583;;24/12/2022;Factura de venta;11049;DEFENSORIA DEL PUEBLO; B/.3.89 ;Presentado;23/12/2022;0
PANAMÁ;29/3/2023;10865835;XX011049/23800371XX;28/4/2023;Nota de crédito Ventas;11049;DEFENSORIA DEL PUEBLO;-B/.3.89 ;Sin informacion; -;-
PANAMÁ;14/10/2021;1135853;1FHS610001181-00024208;13/12/2021;Factura de venta;11112;CABLE Y WIRELESS; B/.34.78 ;Sin informacion; -;-
PANAMÁ;11/2/2022;1148874;1FHS610001181-00028448;12/4/2022;Factura de venta;11112;CABLE Y WIRELESS; B/.58.50 ;Presentado;17/7/2023;0
PANAMÁ;30/4/2022;1158206;1FHS610001181-00031611;29/6/2022;Factura de venta;11112;CABLE Y WIRELESS; B/.95.77 ;Sin informacion; -;-
PANAMÁ;30/6/2022;1165129;1FHS610001181-00033993;29/8/2022;Factura de venta;11112;CABLE Y WIRELESS; B/.210.65 ;Presentado;17/7/2023;0
PANAMÁ;9/8/2022;1169112;1FHS610001181-00035201;8/10/2022;Factura de venta;11112;CABLE Y WIRELESS; B/.144.45 ;Presentado;17/7/2023;0
PANAMÁ;9/8/2022;1169113;1FHS610001181-00035199;8/10/2022;Factura de venta;11112;CABLE Y WIRELESS; B/.49.76 ;APLICAR;0/1/1900;0
PANAMÁ;10/8/2023;1206961;;9/10/2023;Factura de venta;11112;CABLE Y WIRELESS; B/.480.43 ;Sin informacion; -;-
PANAMÁ;9/8/2022;1169135;1FHS610001181-00004632;8/10/2022;Nota de crédito Ventas;11112;CABLE Y WIRELESS;-B/.49.76 ;APLICAR;0/1/1900;0
PANAMÁ;9/8/2022;1169136;1FHS610001181-00035203;8/10/2022;Factura de venta;11112;CABLE Y WIRELESS; B/.49.76 ;Presentado;17/7/2023;0
PANAMÁ;19/5/2023;1198089;;18/7/2023;Factura de venta;11112;CABLE Y WIRELESS; B/.75.02 ;Presentado;17/7/2023;0
PANAMÁ;19/5/2023;1198095;;18/7/2023;Factura de venta;11112;CABLE Y WIRELESS; B/.84.42 ;Presentado;17/7/2023;0
PANAMÁ;30/5/2023;1199167;;29/7/2023;Factura de venta;11112;CABLE Y WIRELESS; B/.205.87 ;Presentado;18/7/2023;0
PANAMÁ;21/4/2023;1195218;;21/5/2023;Factura de venta;11341;AUT.NACIONAL DE LOS SER.PUBLICOS; B/.2.30 ;Presentado;2/6/2023;0
PANAMÁ;21/7/2023;1204689;;20/8/2023;Factura de venta;11341;AUT.NACIONAL DE LOS SER.PUBLICOS; B/.253.38 ;Sin informacion; -;-
PANAMÁ;18/2/2021;1110873;1FHS610001181-00016948;18/2/2021;Factura de venta;11416;CENTRO DE SALUD DE TOCUMEN; B/.387.88 ;Presentado;8/4/2023;0
PANAMÁ;9/12/2021;1141730;1FHS310001256-00006453;10/12/2021;Nota de crédito Ventas;11418;CENTRO DE SALUD DE CURUNDU;-B/.5.40 ;Sin informacion; -;-
PANAMÁ;14/12/2021;1142305;1FHS310001256-00006471;13/1/2022;Nota de crédito Ventas;11418;CENTRO DE SALUD DE CURUNDU;-B/.9.40 ;Sin informacion; -;-
PANAMÁ;4/5/2023;1196353;;3/6/2023;Factura de venta;11429;CENTRO DE SALUD AMELIA DENIS DE ICAZA; B/.425.00 ;Presentado;0/1/1900;0
PANAMÁ;18/7/2023;1204384;;17/8/2023;Factura de venta;11430;CENTRO DE SALUD DE JUAN DIAZ; B/.67.15 ;Por Presentar;0/1/1900;0
PANAMÁ;24/2/2022;1150359;1FHS610001181-00029023;26/3/2022;Factura de venta;12225;EMPRESA DE TRANSMISION ELECTRICA S.A.etesa; B/.851.68 ;Presentado;8/10/2023;0
PANAMÁ;19/9/2022;1173654;1FHS610001181-00036608;19/10/2022;Factura de venta;12225;EMPRESA DE TRANSMISION ELECTRICA S.A.etesa; B/.6.13 ;Presentado;-;0
PANAMÁ;9/2/2023;1188128;;11/3/2023;Factura de venta;12225;EMPRESA DE TRANSMISION ELECTRICA S.A.etesa; B/.3.52 ;Presentado;7/3/2023;0
